"day","year","month","date","time","address","district","accident_types","suspect_vehicle","victim_vehicle","lat","long"
"Monday","2018","2","5","Morning","perintis kemerdekaan","biringkanaya","TK","R2","R2","-5.117784","119.5110136"
"Monday","2018","1","30","Evening","toddopuli raya","panakkukang","TK","R2","R4","-5.1634474","119.4522972"
"Tuesday","2018","2","5","Morning","urip sumuharjo","panakkukang","TL","R4","R2","-5.1348243","119.4316818"
"Monday","2018","1","4","Evening","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Thursday","2018","2","7","Night","somba opu","ujung pandang","TL","R2","R2","-5.1393015","119.4067492"
"Wednesday","2018","2","5","Afternoon","barawaja","panakkukang","TL","R2","R2","-5.1357031","119.4402319"
"Monday","2018","2","8","Evening","sunu","bontoala","TK","R4","R2","-5.1320485","119.4271119"
"Thursday","2018","2","6","Morning","thamrin","ujung pandang","OC","R2","NOV","-5.1365726","119.4091304"
"Tuesday","2018","2","5","Morning","sultan hasanuddin","ujung pandang","TK","R2","R2","-5.1444747","119.4127353"
"Monday","2018","2","7","Morning","adipura","panakkukang","TL","R2","NOV","-5.1299635","119.4382732"
"Wednesday","2018","2","6","Afternoon","perintis kemerdekaan","biringkanaya","TL","R4","R4","-5.117784","119.5110136"
"Tuesday","2018","2","8","Morning","sam ratulangi","mariso","TL","R4","R2","-5.1545549","119.4162792"
"Thursday","2018","2","7","Morning","insinyur sutami","biringkanaya","OC","R2","NOV","-5.0762253","119.515201"
"Wednesday","2018","2","2","Evening","pettarani","panakkukang","TL","R4","R2","-5.1487126","119.4380057"
"Friday","2018","2","9","Evening","haji bau","mariso","TL","R4","R4","-5.148609","119.4111046"
"Friday","2018","2","9","Afternoon","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","2","10","Morning","pajaiang","biringkanaya","TK","R2","R2","-5.1048027","119.5252166"
"Saturday","2018","2","8","Morning","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Thursday","2018","2","9","Afternoon","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","2","11","Evening","kima raya","biringkanaya","OC","R2","NOV","-5.1103799","119.5032456"
"Sunday","2018","2","9","Morning","perintis kemerdekaan","tamalanrea","TM","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","2","9","Night","cendrawasih","mamajang","OC","R2","NOV","-5.167086","119.4118044"
"Friday","2018","2","10","Night","veteran utara","makassar","TL","R2","NOV","-5.1392193","119.4233132"
"Saturday","2018","2","10","Morning","tamangapa raya","manggala","TM","R2","NOV","-5.1767373","119.4843844"
"Saturday","2018","2","12","Morning","monginsidi","ujung pandang","OC","R2","NOV","-5.1479402","119.4186723"
"Monday","2018","2","13","Morning","manggis","ujung pandang","OC","R4","NOV","-5.1478124","119.4130717"
"Tuesday","2018","2","14","Evening","batara bira","biringkanaya","TK","R4","R2","-5.0884975","119.5063692"
"Wednesday","2018","2","1","Afternoon","bakung","biringkanaya","TL","R2","R2","-5.0875939","119.5334226"
"Thursday","2018","2","13","Afternoon","paccerakkang","biringkanaya","TL","R4","R2","-5.1239434","119.5224673"
"Tuesday","2018","2","14","Night","villa mutiara","biringkanaya","OC","R2","NOV","-5.0748047","119.49676665182"
"Wednesday","2018","2","14","Afternoon","bonto duri","tamalate","TM","R4","NOV","-5.1752238","119.4269422"
"Wednesday","2018","2","14","Afternoon","pettarani","rappocini","T","R2","NOV","-5.1510383","119.4374766"
"Wednesday","2018","2","14","Evening","nipa nipa","manggala","TM","R2","NOV","-5.1624042","119.5001015"
"Wednesday","2018","2","14","Evening","urip sumuharjo","panakkukang","TK","R4","R4","-5.1348243","119.4316818"
"Wednesday","2018","2","15","Afternoon","pettarani","panakkukang","OC","R2","NOV","-5.1487126","119.4380057"
"Thursday","2018","2","15","Night","malengkeri","tamalate","TL","R4","R2","-5.1875239","119.4339559"
"Thursday","2018","2","17","Morning","veteran utara","makassar","T","R2","NOV","-5.1392193","119.4233132"
"Saturday","2018","2","15","Afternoon","sam ratulangi","mariso","TL","R2","R2","-5.1545549","119.4162792"
"Thursday","2018","2","14","Morning","ance daeng ngoyo","panakkukang","TK","R2","R4","-5.1532628","119.443011"
"Wednesday","2018","1","14","Evening","dangko","tamalate","OC","R2","NOV","-5.1811574","119.4128553"
"Sunday","2018","2","16","Morning","cilallang","rappocini","OC","R2","NOV","-5.1587967","119.4327675"
"Friday","2018","2","17","Evening","monginsidi","makassar","TL","R2","R4","-5.1486033","119.4231664"
"Saturday","2018","2","17","Evening","pettarani","rappocini","TL","R2","R2","-5.1510383","119.4374766"
"Saturday","2018","2","15","Afternoon","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Thursday","2018","2","16","Morning","telegraph utama","biringkanaya","TK","R2","R4","-5.13054","119.5149116"
"Friday","2018","2","15","Night","perintis kemerdekaan","biringkanaya","TK","R2","R4","-5.117784","119.5110136"
"Thursday","2018","2","18","Afternoon","insinyur sutami","biringkanaya","TK","R4","TR","-5.0762253","119.515201"
"Sunday","2018","2","16","Night","gn. latimojong","makassar","TK","R2","R4","-5.1342049","119.4196956"
"Friday","2018","2","10","Afternoon","amanagapa","ujung pandang","TK","R4","R2","-5.1375303","119.4096708"
"Saturday","2018","2","18","Afternoon","metro tanjung bunga","tamalate","TL","R4","R2","-5.1661576","119.3917443"
"Sunday","2018","2","19","Afternoon","cendrawasih","mamajang","OC","R2","NOV","-5.167086","119.4118044"
"Monday","2018","2","14","Morning","andi tonro","tamalate","TM","R2","NOV","-5.1719829","119.423857"
"Wednesday","2018","2","20","Evening","perintis kemerdekaan","tamalanrea","TK","R2","R4","-5.1402715","119.4832943739"
"Tuesday","2018","2","17","Night","paccerakkang","biringkanaya","TL","R2","R2","-5.1239434","119.5224673"
"Saturday","2018","2","18","Night","tamangapa raya","manggala","TK","R2","R2","-5.1767373","119.4843844"
"Sunday","2018","2","18","Evening","urip sumuharjo","panakkukang","OC","R2","NOV","-5.1348243","119.4316818"
"Sunday","2018","2","19","Afternoon","pettarani","rappocini","TL","R4","R2","-5.1510383","119.4374766"
"Monday","2018","2","18","Morning","profesor abdurrahman basalamah","panakkukang","OC","R2","NOV","-5.1471505","119.4492661"
"Sunday","2018","2","17","Evening","insinyur sutami","biringkanaya","TK","R4","R4","-5.0762253","119.515201"
"Saturday","2018","2","20","Evening","tamalanrea raya","tamalanrea","OC","R2","NOV","-5.1358197","119.5070307"
"Tuesday","2018","2","19","Afternoon","lasuloro","manggala","TL","R4","NOV","-5.1700155","119.4881657"
"Monday","2018","2","19","Evening","urip sumuharjo","panakkukang","TL","R2","R2","-5.1348243","119.4316818"
"Monday","2018","2","15","Evening","tamangapa raya","manggala","TK","R2","R2","-5.1767373","119.4843844"
"Thursday","2018","2","21","Night","pajukukang","tamalate","TL","R2","R2","-5.2019757","119.3874662"
"Wednesday","2018","2","19","Morning","metro tanjung bunga","mariso","TL","R2","R2","-5.1523252","119.4054678"
"Monday","2018","2","21","Evening","gagak","mariso","TL","R2","NOV","-5.1607133","119.4106525"
"Wednesday","2018","2","15","Afternoon","pettarani","rappocini","TK","TR","R2","-5.1510383","119.4374766"
"Thursday","2018","2","21","Afternoon","pettarani","rappocini","TL","R2","R2","-5.1510383","119.4374766"
"Wednesday","2018","2","22","Morning","metro tanjung bunga","tamalate","TL","R2","R2","-5.1661576","119.3917443"
"Thursday","2018","2","20","Evening","kakatua ii","mariso","TK","R2","R2","-5.1615534","119.4153491"
"Tuesday","2018","2","21","Afternoon","kapasa raya","tamalanrea","OC","R2","NOV","-5.1029771","119.4940907"
"Wednesday","2018","2","23","Afternoon","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","2","23","Morning","perintis kemerdekaan","biringkanaya","TK","R2","R4","-5.117784","119.5110136"
"Friday","2018","2","22","Afternoon","urip sumuharjo","panakkukang","TL","R2","NOV","-5.1348243","119.4316818"
"Thursday","2018","2","22","Afternoon","gotong royong","panakkukang","TL","R2","R2","-5.1444485","119.4368793"
"Thursday","2018","2","22","Morning","abdullah daeng sirua","manggala","OC","R2","NOV","-5.1502262","119.4624701"
"Thursday","2018","2","24","Night","andalas","bontoala","TK","R2","B2","-5.1225458","119.417918"
"Saturday","2018","2","23","Morning","sultan alauddin","tamalate","OC","R2","NOV","-5.1682367","119.4209823"
"Friday","2018","2","24","Morning","sultan alauddin","tamalate","TL","R2","R2","-5.1682367","119.4209823"
"Saturday","2018","2","25","Afternoon","cendrawasih","mamajang","TK","R2","R2","-5.167086","119.4118044"
"Sunday","2018","2","22","Morning","pettarani","rappocini","OC","R4","NOV","-5.1510383","119.4374766"
"Thursday","2018","2","25","Morning","insinyur sutami","biringkanaya","TK","R4","R4","-5.0762253","119.515201"
"Sunday","2018","2","25","Morning","batara bira","biringkanaya","TK","B","B","-5.0884975","119.5063692"
"Sunday","2018","2","23","Afternoon","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","2","25","Evening","perintis kemerdekaan","tamalanrea","TL","R2","R2","-5.1402715","119.4832943739"
"Sunday","2018","2","26","Morning","kerung-kerung","makassar","TL","R4","R4","-5.1402349","119.4257622"
"Monday","2018","2","24","Afternoon","pampang raya","panakkukang","TK","R2","NOV","-5.136431","119.443415"
"Saturday","2018","2","24","Night","sultan alauddin","rappocini","OC","R2","NOV","-5.176566","119.4363938"
"Saturday","2018","2","25","Evening","pettarani","panakkukang","TL","R2","R2","-5.1487126","119.4380057"
"Sunday","2018","2","27","Morning","banta bantaeng","rappocini","TL","R4","R2","-5.1595024","119.4238876"
"Tuesday","2018","2","26","Afternoon","metro tanjung bunga","tamalate","OC","R4","NOV","-5.1661576","119.3917443"
"Monday","2018","2","20","Morning","pannampu","tallo","TM","R2","NOV","-5.1184614","119.4264568"
"Tuesday","2018","2","27","Afternoon","sultan hasanuddin","ujung pandang","TL","R4","R2","-5.1444747","119.4127353"
"Tuesday","2018","2","27","Morning","sultan hasanuddin","ujung pandang","TM","R4","NOV","-5.1444747","119.4127353"
"Tuesday","2018","2","26","Afternoon","toddopuli","panakkukang","TK","R2","R2","-5.1626055","119.4476516"
"Monday","2018","2","27","Morning","cendrawasih","mariso","TL","R2","R2","-5.155219","119.4137008"
"Tuesday","2018","3","1","Evening","mesjid muhajirin","panakkukang","TL","R2","R2","-5.1395135","119.4344078"
"Thursday","2018","3","1","Night","veteran selatan","mamajang","TK","R4","R4","-5.162773","119.4212589"
"Thursday","2018","2","28","Afternoon","perintis kemerdekaan","biringkanaya","TK","R2","R4","-5.117784","119.5110136"
"Wednesday","2018","3","1","Afternoon","insinyur sutami","biringkanaya","T","R2","NOV","-5.0762253","119.515201"
"Thursday","2018","3","1","Morning","kapasa raya","biringkanaya","T","R2","NOV","-5.0945064","119.4925577"
"Thursday","2018","2","27","Afternoon","daeng tata raya","tamalate","T","R2","NOV","-5.1850019","119.423432"
"Tuesday","2018","3","2","Afternoon","raya kampus unhas","tamalanrea","TK","R2","R2","-5.1377601","119.4886605"
"Friday","2018","3","2","Morning","metro tanjung bunga","tamalate","TK","R3","R4","-5.1661576","119.3917443"
"Friday","2018","3","2","Evening","pettarani","rappocini","TK","R2","R2","-5.1510383","119.4374766"
"Friday","2018","3","3","Night","urip sumuharjo","panakkukang","TK","R4","R4","-5.1348243","119.4316818"
"Saturday","2018","3","3","Night","gunung bawakaraeng","bontoala","TL","R2","NOV","-5.1348657","119.4243319"
"Saturday","2018","3","1","Night","gunung bawakaraeng","bontoala","TK","R2","R4","-5.1348657","119.4243319"
"Thursday","2018","3","2","Evening","kima iii","biringkanaya","T","R2","NOV","-5.1064167","119.5065503"
"Friday","2018","3","4","Night","metro tanjung bunga","tamalate","T","R2","NOV","-5.1661576","119.3917443"
"Sunday","2018","3","3","Night","urip sumuharjo","panakkukang","TK","R4","R2","-5.1348243","119.4316818"
"Saturday","2018","3","2","Morning","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","3","4","Morning","andi mappaodang","tamalate","OC","R2","NOV","-5.1732205","119.4158686"
"Sunday","2018","3","5","Evening","dg. regge","tallo","TL","R2","R2","-5.1249285","119.433072"
"Monday","2018","3","4","Night","pettarani","rappocini","TK","B2","R2","-5.1510383","119.4374766"
"Sunday","2018","3","3","Evening","andi tonro","tamalate","TL","R4","R4","-5.1719829","119.423857"
"Saturday","2018","3","3","Afternoon","sultan alauddin","tamalate","TK","R4","R2","-5.1682367","119.4209823"
"Saturday","2018","3","3","Morning","dr. leimena","manggala","TK","R4","R2","-5.1499864","119.4710753"
